web-scraper-order,web-scraper-start-url,link,link-href,brand,product_name,category,price,rating,number_of_reviews,number_of_recommendations,repurchase_yes,repurchase_no,repurchase_maybe,repurchase_yes_num,repurchase_no_num,rating_imputed_mean,rating_imputed_median,number_of_recommendations_imputed_mean,number_of_recommendations_imputed_median,repurchase_yes_num_imputed_mean,repurchase_yes_num_imputed_median,repurchase_no_num_imputed_mean,repurchase_no_num_imputed_median
1639359066-1972,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/blush/423-new-blush-pastel,Bourjois,New Blush Pastel,New Blush Pastel,Rp 182.000,4.3,(8),8.0,Yes (5),No (0),Maybe (3),5.0,0.0,4.3,4.3,8.0,8.0,5.0,5.0,0.0,0.0
1639360267-2140,https://www.sociolla.com/146-face?page=4,,https://www.sociolla.com/loose-powder/15447-photoready-candid-setting-powder,Revlon,Photoready Candid Setting Powder,Photoready Candid Setting Powder,Rp 115.000Rp 80.500,4.5,(14),14.0,Yes (13),No (0),Maybe (1),13.0,0.0,4.5,4.5,14.0,14.0,13.0,13.0,0.0,0.0
1639360275-2141,https://www.sociolla.com/146-face?page=4,,https://www.sociolla.com/liquid-foundation/58262-hydrastay-glow-fluid-foundation,Make Over,Hydrastay Glow Fluid Foundation,Hydrastay Glow Fluid Foundation,Rp 175.000,4.7,(47),37.0,Yes (38),No (1),Maybe (8),38.0,1.0,4.7,4.6,37.0,37.0,38.0,38.0,1.0,1.0
1639360110-2119,https://www.sociolla.com/146-face?page=5,,https://www.sociolla.com/loose-powder/15883-setting-powder,ESQA,Setting Powder,Setting Powder,Rp 165.000,4.6,(409),346.0,Yes (298),No (16),Maybe (95),298.0,16.0,4.6,4.6,346.0,228.0,298.0,115.0,16.0,16.0
1639359600-2053,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/compact-powder/2316-perfect-cover-two-way-cake-12gr,Make Over,Perfect Cover Two Way Cake 12gr,Perfect Cover Two Way Cake 12gr,Rp 157.000Rp 141.300,4.5,"(1,2k)",1172.0,Yes (890),No (71),Maybe (247),890.0,71.0,4.5,4.5,1172.0,228.0,890.0,115.0,71.0,17.0
1639358829-1935,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/cake-foundation/55029-lng-layering-cover-cushion-ol21,Laneige,LNG Layering Cover Cushion (OL21),LNG Layering Cover Cushion (OL21),Rp 480.000Rp 357.500,3.9,(2),2.0,Yes (1),No (0),Maybe (1),1.0,0.0,3.9,4.2,2.0,2.0,1.0,1.0,0.0,0.0
1639359985-2101,https://www.sociolla.com/146-face?page=6,,https://www.sociolla.com/cake-foundation/16704-powerstay-total-cover-matte-cream-foundation,Make Over,Powerstay Total Cover Matte Cream Foundation,Powerstay Total Cover Matte Cream Foundation,Rp 145.000,4.6,(181),169.0,Yes (132),No (11),Maybe (38),132.0,11.0,4.6,4.6,169.0,169.0,132.0,115.0,11.0,11.0
1639359157-1986,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/blush/16374-cool-chic-blush-stick,Silkygirl,Cool Chic Blush Stick,Cool Chic Blush Stick,Rp 70.000,4.4,(31),29.0,Yes (18),No (3),Maybe (10),18.0,3.0,4.4,4.4,29.0,29.0,18.0,18.0,3.0,3.0
1639358246-1843,https://www.sociolla.com/146-face?page=24,,https://www.sociolla.com/blush/55504-kem-ma-hong-i-m-meme-i-m-bare-cheek-liquid,IMMEME,I'm Bare Cheek Liquid,I'm Bare Cheek Liquid,Rp 195.000Rp 97.500,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639358641-1903,https://www.sociolla.com/146-face?page=21,,https://www.sociolla.com/liquid-foundation/5199-colorstay-liquid-makeup-for-combination-oily,Revlon,Colorstay Liquid Makeup For Combination/Oily,Colorstay Liquid Makeup For Combination/Oily,Rp 145.000Rp 79.750,4.3,(379),336.0,Yes (213),No (59),Maybe (107),213.0,59.0,4.3,4.3,336.0,228.0,213.0,115.0,59.0,17.0
1639359273-2006,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/cake-foundation/16552-magic-cushion,Everwhite,Magic Cushion,Magic Cushion,Rp 170.500Rp 114.235,4.5,(101),90.0,Yes (58),No (4),Maybe (39),58.0,4.0,4.5,4.5,90.0,90.0,58.0,58.0,4.0,4.0
1639359192-1992,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/liquid-foundation/10705-everyday-luminous-creamy-foundation,Wardah,Everyday Luminous Creamy Foundation,Everyday Luminous Creamy Foundation,Rp 37.000 - Rp 39.000,4.3,(199),156.0,Yes (102),No (35),Maybe (62),102.0,35.0,4.3,4.3,156.0,156.0,102.0,102.0,35.0,17.0
1639358925-1951,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/liquid-foundation/24211-studio-series-dura-wear-lightweight-full-cover-liquid-foundation,Mineral Botanica,Studio Series Dura Wear Lightweight Full Cover Liquid Foundation,Studio Series Dura Wear Lightweight Full Cover Liquid Foundation,Rp 172.000Rp 120.400,4.7,(32),23.0,Yes (28),No (1),Maybe (3),28.0,1.0,4.7,4.6,23.0,23.0,28.0,28.0,1.0,1.0
1639358347-1856,https://www.sociolla.com/146-face?page=24,,https://www.sociolla.com/highlighter/53845-sparkling-you-illuminating,YOU Makeups,Sparkling You Illuminating,Sparkling You Illuminating,Rp 59.000Rp 50.150,4.6,(4),3.0,Yes (2),No (0),Maybe (2),2.0,0.0,4.6,4.6,3.0,3.0,2.0,2.0,0.0,0.0
1639359304-2011,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/pressed-powder/55603-acneact-acne-pressed-powder,Erha,AcneAct Acne Pressed Powder,AcneAct Acne Pressed Powder,Rp 108.900Rp 93.654,4.4,(7),5.0,Yes (6),No (0),Maybe (1),6.0,0.0,4.4,4.4,5.0,5.0,6.0,6.0,0.0,0.0
1639358369-1859,https://www.sociolla.com/146-face?page=23,,https://www.sociolla.com/loose-powder/10476-natural-loose-powder-for-acne,Elsheskin,Natural Loose Powder For Acne,Natural Loose Powder For Acne,Rp 135.000Rp 132.300,4.2,(45),41.0,Yes (27),No (5),Maybe (13),27.0,5.0,4.2,4.2,41.0,41.0,27.0,27.0,5.0,5.0
1639359145-1985,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/cake-foundation/10600-cover-foundation,RIVERA,Cover Foundation,Cover Foundation,Rp 84.000,4.3,(17),12.0,Yes (9),No (4),Maybe (4),9.0,4.0,4.3,4.3,12.0,12.0,9.0,9.0,4.0,4.0
1639358986-1960,https://www.sociolla.com/146-face?page=17,,https://www.sociolla.com/cake-foundation/7725-powdery-foundation-spf-15-pa-,Revlon,Powdery Foundation SPF 15 PA ++,Powdery Foundation SPF 15 PA ++,Rp 125.000Rp 87.500,4.1,(95),86.0,Yes (51),No (17),Maybe (27),51.0,17.0,4.1,4.2,86.0,86.0,51.0,51.0,17.0,17.0
1639359000-1962,https://www.sociolla.com/146-face?page=17,,https://www.sociolla.com/cake-foundation/53883-dream-skin-perfect-cushion,YOU Makeups,Dream Skin Perfect Cushion,Dream Skin Perfect Cushion,Rp 229.000Rp 194.650,4.3,(12),11.0,Yes (8),No (0),Maybe (4),8.0,0.0,4.3,4.3,11.0,11.0,8.0,8.0,0.0,0.0
1639359323-2014,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/highlighter/15667-highlighter,Sorcha,Highlighter,Highlighter,Rp 185.000,4.5,(62),59.0,Yes (39),No (3),Maybe (20),39.0,3.0,4.5,4.5,59.0,59.0,39.0,39.0,3.0,3.0
1639359020-1965,https://www.sociolla.com/146-face?page=17,,https://www.sociolla.com/setting-spray/56553-porefessional-super-setter-setting-spray-mini,Benefit Cosmetics,Porefessional Super Setter Setting Spray Mini,Porefessional Super Setter Setting Spray Mini,Rp 260.000,5.0,(5),5.0,Yes (4),No (0),Maybe (1),4.0,0.0,5.0,4.6,5.0,5.0,4.0,4.0,0.0,0.0
1639358613-1898,https://www.sociolla.com/146-face?page=21,,https://www.sociolla.com/highlighter/59781-colorland-explorer-focus-on-me-highlighter,YOU Makeups,Colorland Explorer Focus On Me Highlighter,Colorland Explorer Focus On Me Highlighter,Rp 58.000,5.0,(1),1.0,Yes (1),No (0),Maybe (0),1.0,0.0,5.0,4.6,1.0,2.0,1.0,1.0,0.0,0.0
1639358706-1913,https://www.sociolla.com/146-face?page=20,,https://www.sociolla.com/concealer/30131-123-perfect-cc-eye-cream-concealer,Bourjois,123 Perfect CC Eye Cream Concealer,123 Perfect CC Eye Cream Concealer,Rp 145.000,4.2,(9),9.0,Yes (3),No (4),Maybe (2),3.0,4.0,4.2,4.2,9.0,9.0,3.0,3.0,4.0,4.0
1639360495-2173,https://www.sociolla.com/146-face?page=2,,https://www.sociolla.com/face-primer/7645-the-porefessional-primer,Benefit Cosmetics,The Porefessional Primer,The Porefessional Primer,Rp 560.000,4.4,(237),227.0,Yes (139),No (21),Maybe (77),139.0,21.0,4.4,4.4,227.0,227.0,139.0,115.0,21.0,17.0
1639360134-2121,https://www.sociolla.com/146-face?page=5,,https://www.sociolla.com/foundation/10874-powerstay-weightless-liquid-foundation,Make Over,Powerstay Weightless Liquid Foundation,Powerstay Weightless Liquid Foundation,Rp 175.000Rp 157.500,4.5,(675),618.0,Yes (487),No (49),Maybe (139),487.0,49.0,4.5,4.5,618.0,228.0,487.0,115.0,49.0,17.0
1639360395-2158,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/bb-cc-cream/54308-perfecting-cushion-intense,Sulwhasoo,Perfecting Cushion Intense #21,Perfecting Cushion Intense #21,Rp 1.100.000Rp 825.000,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639360023-2106,https://www.sociolla.com/146-face?page=6,,https://www.sociolla.com/makeup/16360-bb-cream,NOTE COSMETICS,BB Cream,Makeup,Rp 119.000Rp 77.350,4.7,(174),163.0,Yes (115),No (9),Maybe (50),115.0,9.0,4.7,4.6,163.0,163.0,115.0,115.0,9.0,9.0
1639360502-2174,https://www.sociolla.com/146-face?page=2,,https://www.sociolla.com/loose-powder/54069-hydrastay-radiant-finishing-powder,Make Over,Hydrastay Radiant Finishing Powder,Hydrastay Radiant Finishing Powder,Rp 120.000,4.6,(128),100.0,Yes (93),No (6),Maybe (29),93.0,6.0,4.6,4.6,100.0,100.0,93.0,93.0,6.0,6.0
1639358201-1837,https://www.sociolla.com/146-face?page=25,,https://www.sociolla.com/cake-foundation/11076-bb-cushion,Moko Moko,BB Cushion,BB Cushion,Rp 219.000,4.2,(5),4.0,Yes (2),No (1),Maybe (2),2.0,1.0,4.2,4.2,4.0,4.0,2.0,2.0,1.0,1.0
1639360294-2144,https://www.sociolla.com/146-face?page=4,,https://www.sociolla.com/highlighter/51268-fabulous-lava-light-liquid-highlighter,Madame Gie,Fabulous Lava Light Liquid Highlighter,Fabulous Lava Light Liquid Highlighter,Rp 42.800Rp 27.820,4.2,(13),9.0,Yes (3),No (2),Maybe (8),3.0,2.0,4.2,4.2,9.0,9.0,3.0,3.0,2.0,2.0
1639358937-1953,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/bb-cc-cream/49161-rubin-signature-airy-bb-cushion,Sada By Cathy Sharon,Rubin Signature Airy BB Cushion,Rubin Signature Airy BB Cushion,Rp 219.000Rp 87.600 - Rp 109.500,4.5,(14),8.0,Yes (7),No (3),Maybe (4),7.0,3.0,4.5,4.5,8.0,8.0,7.0,7.0,3.0,3.0
1639358187-1834,https://www.sociolla.com/146-face?page=25,,https://www.sociolla.com/contour/10400-shading-stick,Cezanne,Shading Stick,Shading Stick,Rp 199.000,4.0,(7),5.0,Yes (2),No (2),Maybe (3),2.0,2.0,4.0,4.2,5.0,5.0,2.0,2.0,2.0,2.0
1639360036-2108,https://www.sociolla.com/146-face?page=6,,https://www.sociolla.com/makeup/49162-lunis-micro-translucent-powder,Sada By Cathy Sharon,Lunis Micro Translucent Powder,Lunis Micro Translucent Powder,Rp 149.500Rp 74.750,4.6,(30),25.0,Yes (23),No (1),Maybe (6),23.0,1.0,4.6,4.6,25.0,25.0,23.0,23.0,1.0,1.0
1639359054-1970,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/highlighter/56206-cheek-lit-highlighter-stick-nudetwinkle,Emina,Cheek Lit Highlighter Stick Nudetwinkle,Cheek Lit Highlighter Stick Nudetwinkle,Rp 54.000,4.5,(24),21.0,Yes (15),No (2),Maybe (7),15.0,2.0,4.5,4.5,21.0,21.0,15.0,15.0,2.0,2.0
1639359586-2051,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/concealer/16355-perfecting-pen,NOTE COSMETICS,Perfecting Pen,Perfecting Pen,Rp 99.000Rp 64.350,4.5,(314),301.0,Yes (194),No (19),Maybe (101),194.0,19.0,4.5,4.5,301.0,228.0,194.0,115.0,19.0,17.0
1639358272-1848,https://www.sociolla.com/146-face?page=24,,https://www.sociolla.com/cake-foundation/55040-lng-water-glow-gel-foundation-ol21,Laneige,LNG Water Glow Gel Foundation (OL21),LNG Water Glow Gel Foundation (OL21),Rp 560.000Rp 397.000,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639358993-1961,https://www.sociolla.com/146-face?page=17,,https://www.sociolla.com/cake-foundation/8715-glam-rock-aqua-foundation,Mizzu,Glam Rock Aqua Foundation,Glam Rock Aqua Foundation,Rp 157.500,4.3,(412),383.0,Yes (206),No (83),Maybe (123),206.0,83.0,4.3,4.3,383.0,228.0,206.0,115.0,83.0,17.0
1639359459-2031,https://www.sociolla.com/146-face?page=12,,https://www.sociolla.com/liquid-foundation/39081-foundation-healthy-mix-relaunch-17,Bourjois,Foundation Healthy Mix Relaunch 17,Foundation Healthy Mix Relaunch 17,Rp 321.000Rp 192.600,4.4,(81),79.0,Yes (56),No (6),Maybe (19),56.0,6.0,4.4,4.4,79.0,79.0,56.0,56.0,6.0,6.0
1639359259-2003,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/tinted-moisturizer/58662-skintone-moisture-tint-bliss,Joylab,Skintone Moisture Tint Bliss,Skintone Moisture Tint Bliss,Rp 140.000Rp 133.000,4.7,(3),3.0,Yes (1),No (0),Maybe (2),1.0,0.0,4.7,4.6,3.0,3.0,1.0,1.0,0.0,0.0
1639359317-2013,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/tinted-moisturizer/58661-skintone-moisture-tint-joy,Joylab,Skintone Moisture Tint Joy,Skintone Moisture Tint Joy,Rp 140.000Rp 133.000,4.4,(5),3.0,Yes (3),No (1),Maybe (1),3.0,1.0,4.4,4.4,3.0,3.0,3.0,3.0,1.0,1.0
1639360099-2117,https://www.sociolla.com/146-face?page=5,,https://www.sociolla.com/bb-cc-cream/53871-the-simplicity-color-corrector-cc-cushion,YOU Makeups,The Simplicity Color Corrector CC Cushion,The Simplicity Color Corrector CC Cushion,Rp 115.000Rp 97.750,4.5,(49),42.0,Yes (32),No (2),Maybe (15),32.0,2.0,4.5,4.5,42.0,42.0,32.0,32.0,2.0,2.0
1639359618-2055,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/liquid-foundation/47642-sheer-glow-liquid-foundation,Focallure,Sheer Glow Liquid Foundation,Sheer Glow Liquid Foundation,Rp 198.000Rp 120.780,,,,Yes (4),No (1),Maybe (2),4.0,1.0,4.462214983713356,4.5,213.94193548387096,21.5,4.0,4.0,1.0,1.0
1639359417-2025,https://www.sociolla.com/146-face?page=12,,https://www.sociolla.com/blush/9395-blush-on,Mineral Botanica,The Grail Blush On,The Grail Blush On,Rp 49.900Rp 34.930 - Rp 49.900,,,,Yes (153),No (35),Maybe (96),153.0,35.0,4.462214983713356,4.5,213.94193548387096,21.5,153.0,115.0,35.0,17.0
1639358298-1851,https://www.sociolla.com/146-face?page=24,,https://www.sociolla.com/liquid-foundation/53954-foundation-radiance-skin-foundation,Wardah,,,,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639359994-2103,https://www.sociolla.com/146-face?page=6,,https://www.sociolla.com/bronzer/15882-bronzer,ESQA,Bronzer,Bronzer,Rp 135.000,4.6,(324),293.0,Yes (219),No (8),Maybe (97),219.0,8.0,4.6,4.6,293.0,228.0,219.0,115.0,8.0,8.0
1639358790-1928,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/liquid-foundation/16902-liquid-foundation,PAC,Liquid Foundation,Liquid Foundation,Rp 181.400,4.5,(13),11.0,Yes (8),No (1),Maybe (4),8.0,1.0,4.5,4.5,11.0,11.0,8.0,8.0,1.0,1.0
1639360246-2137,https://www.sociolla.com/146-face?page=4,,https://www.sociolla.com/blush/25108-sweet-cheek-blushed,Madame Gie,Sweet Cheek Blushed,Sweet Cheek Blushed,Rp 30.400Rp 19.760,4.5,(314),285.0,Yes (194),No (32),Maybe (88),194.0,32.0,4.5,4.5,285.0,228.0,194.0,115.0,32.0,17.0
1639359568-2049,https://www.sociolla.com/146-face?page=11,,https://www.sociolla.com/highlighter/16358-terracotta-powder,Wardah,whoops,,,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639359076-1974,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/compact-powder/49230-translucent-pressed-powder,Wardah,,,,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639359122-1981,https://www.sociolla.com/146-face?page=15,,https://www.sociolla.com/liquid-foundation/10417-the-realest-lightweight-foundation-,Rose All Day,The Realest Lightweight Foundation,The Realest Lightweight Foundation,Rp 209.000,4.4,(367),333.0,Yes (229),No (40),Maybe (98),229.0,40.0,4.4,4.4,333.0,228.0,229.0,115.0,40.0,17.0
1639358719-1915,https://www.sociolla.com/146-face?page=20,,https://www.sociolla.com/blush/24875-bloom-n-blush,Silkygirl,Bloom n Blush - Blossom Collection,Bloom n Blush - Blossom Collection,Rp 72.000Rp 43.200,4.4,(7),3.0,Yes (3),No (2),Maybe (2),3.0,2.0,4.4,4.4,3.0,3.0,3.0,3.0,2.0,2.0
1639360170-2126,https://www.sociolla.com/146-face?page=5,,https://www.sociolla.com/cake-foundation/14166-exclusive-flawless-cover-cushion,Wardah,Exclusive Flawless Cover Cushion,Exclusive Flawless Cover Cushion,Rp 138.000,4.5,(337),315.0,Yes (216),No (31),Maybe (90),216.0,31.0,4.5,4.5,315.0,228.0,216.0,115.0,31.0,17.0
1639358618-1899,https://www.sociolla.com/146-face?page=21,,https://www.sociolla.com/setting-spray/61099-noutriwear-makeup-stay-lock-mist,YOU Makeups,NoutriWear+ Makeup Stay Lock Mist,NoutriWear+ Makeup Stay Lock Mist,Rp 58.000Rp 49.300,4.4,(3),1.0,Yes (2),No (0),Maybe (1),2.0,0.0,4.4,4.4,1.0,2.0,2.0,2.0,0.0,0.0
1639358193-1836,https://www.sociolla.com/146-face?page=25,,https://www.sociolla.com/cake-foundation/11075-bb-cushion,Moko Moko,BB Cushion,BB Cushion,Rp 199.000,4.3,(19),16.0,Yes (5),No (5),Maybe (9),5.0,5.0,4.3,4.3,16.0,16.0,5.0,5.0,5.0,5.0
1639358184-1833,https://www.sociolla.com/146-face?page=25,,https://www.sociolla.com/setting-spray/11537-face-mist,Mineral Botanica,Face Mist,Face Mist,,4.2,(443),413.0,Yes (252),No (65),Maybe (126),252.0,65.0,4.2,4.2,413.0,228.0,252.0,115.0,65.0,17.0
1639358589-1894,https://www.sociolla.com/146-face?page=21,,https://www.sociolla.com/liquid-foundation/10150-cant-stop-wont-stop-foundation-wont-stop-foundation-nude,NYX Professional Makeup,Can't Stop Won't Stop Foundation (Won't Stop Foundation - Nude),Can't Stop Won't Stop Foundation (Won't Stop Foundation - Nude),Rp 199.000,4.4,(494),454.0,Yes (304),No (62),Maybe (128),304.0,62.0,4.4,4.4,454.0,228.0,304.0,115.0,62.0,17.0
1639360469-2169,https://www.sociolla.com/146-face?page=2,,https://www.sociolla.com/pressed-powder/53048-flawless-powder-foundation,ESQA,Flawless Powder Foundation,Flawless Powder Foundation,Rp 185.000,4.6,(170),135.0,Yes (116),No (8),Maybe (46),116.0,8.0,4.6,4.6,135.0,135.0,116.0,115.0,8.0,8.0
1639358888-1945,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/compact-powder/16375-silky-white-brightening-2-way-powder-foundation,Silkygirl,Silky White Brightening 2-Way Powder Foundation,Silky White Brightening 2-Way Powder Foundation,Rp 65.000Rp 39.000,4.0,(15),12.0,Yes (6),No (4),Maybe (5),6.0,4.0,4.0,4.2,12.0,12.0,6.0,6.0,4.0,4.0
1639358676-1908,https://www.sociolla.com/146-face?page=20,,https://www.sociolla.com/cake-foundation/16877-refill-creamy-foundation,PAC,Refill Creamy Foundation,Refill Creamy Foundation,Rp 179.000,4.2,(2),2.0,Yes (2),No (0),Maybe (0),2.0,0.0,4.2,4.2,2.0,2.0,2.0,2.0,0.0,0.0
1639358124-1829,https://www.sociolla.com/146-face?page=25,,https://www.sociolla.com/face-primer/12385-banila-co-prime-primer-sun,Wardah,,,,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639360483-2171,https://www.sociolla.com/146-face?page=2,,https://www.sociolla.com/concealer/13263-hideem-contour-and-concealer,Mizzu,Hide'em Contour and Concealer,Makeup,Rp 66.000,4.4,(437),392.0,Yes (269),No (41),Maybe (127),269.0,41.0,4.4,4.4,392.0,228.0,269.0,115.0,41.0,17.0
1639360423-2162,https://www.sociolla.com/146-face?page=2,,https://www.sociolla.com/highlighter/12227-highlighter,ESQA,Highlighter,Highlighter,Rp 135.000,4.5,(427),384.0,Yes (268),No (37),Maybe (122),268.0,37.0,4.5,4.5,384.0,228.0,268.0,115.0,37.0,17.0
1639360239-2136,https://www.sociolla.com/146-face?page=4,,https://www.sociolla.com/bb-cc-cream/9749-m-perfect-bb-cream-spf42-pa,Missha,M Perfect BB Cream SPF42 PA+++,M Perfect BB Cream SPF42 PA+++,Rp 137.500 - Rp 379.500Rp 68.750 - Rp 189.750,4.3,(311),255.0,Yes (163),No (58),Maybe (90),163.0,58.0,4.3,4.3,255.0,228.0,163.0,115.0,58.0,17.0
1639359988-2102,https://www.sociolla.com/146-face?page=6,,https://www.sociolla.com/compact-powder/10715-lightening-two-way-cake-light-feel,Wardah,Lightening Two Way Cake Light Feel,Lightening Two Way Cake Light Feel,Rp 52.500,4.4,(754),690.0,Yes (464),No (76),Maybe (214),464.0,76.0,4.4,4.4,690.0,228.0,464.0,115.0,76.0,17.0
1639359186-1991,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/loose-powder/13264-airlight,Mizzu,Airlight,Airlight,Rp 112.700,4.4,(55),52.0,Yes (31),No (4),Maybe (20),31.0,4.0,4.4,4.4,52.0,52.0,31.0,31.0,4.0,4.0
1639359008-1963,https://www.sociolla.com/146-face?page=17,,https://www.sociolla.com/liquid-foundation/17206-covericious-power-fit-foundation,banila co.,Covericious Power Fit Foundation,Covericious Power Fit Foundation,Rp 540.000,4.4,(1),1.0,Yes (1),No (0),Maybe (0),1.0,0.0,4.4,4.4,1.0,2.0,1.0,1.0,0.0,0.0
1639359479-2034,https://www.sociolla.com/146-face?page=11,,https://www.sociolla.com/compact-powder/16029-powder-foundation,Rubiena,Powder Foundation,Powder Foundation,Rp 90.000Rp 45.000,4.2,(8),8.0,Yes (4),No (1),Maybe (3),4.0,1.0,4.2,4.2,8.0,8.0,4.0,4.0,1.0,1.0
1639358325-1854,https://www.sociolla.com/146-face?page=24,,https://www.sociolla.com/compact-powder/53890-studio-matte-powder-foundation,YOU Makeups,Studio Matte Powder Foundation,Studio Matte Powder Foundation,Rp 99.000Rp 84.150,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639359672-2061,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/bb-cc-cream/58160-mineral-botanica-bb-cream,Mineral Botanica,Mineral Botanica BB Cream,Mineral Botanica BB Cream,Rp 61.900Rp 43.330,4.8,(66),59.0,Yes (61),No (1),Maybe (4),61.0,1.0,4.8,4.6,59.0,59.0,61.0,61.0,1.0,1.0
1639358949-1954,https://www.sociolla.com/146-face?page=17,,https://www.sociolla.com/face-primer/47789-start-up-matt-primer,A'pieu,Start Up Matt Primer,Start Up Matt Primer,Rp 189.000Rp 122.850,4.5,(4),4.0,Yes (1),No (0),Maybe (3),1.0,0.0,4.5,4.5,4.0,4.0,1.0,1.0,0.0,0.0
1639360164-2125,https://www.sociolla.com/146-face?page=5,,https://www.sociolla.com/compact-powder/14408-uvw-twc-perfect-last,Pixy,UVW TWC Perfect Last,UVW TWC Perfect Last,Rp 35.000,4.5,(654),609.0,Yes (457),No (56),Maybe (141),457.0,56.0,4.5,4.5,609.0,228.0,457.0,115.0,56.0,17.0
1639359848-2086,https://www.sociolla.com/146-face?page=8,,https://www.sociolla.com/blush/23634-juicy-pang-jelly-blusher,A'pieu,Juicy Pang Jelly Blusher,Juicy Pang Jelly Blusher,Rp 169.000Rp 118.300,4.5,(109),106.0,Yes (73),No (5),Maybe (31),73.0,5.0,4.5,4.5,106.0,106.0,73.0,73.0,5.0,5.0
1639359470-2033,https://www.sociolla.com/146-face?page=12,,https://www.sociolla.com/concealer/56780-squeeze-me-up-liquid-concealer,Wardah,,,,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639358784-1927,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/compact-powder/16880-refill-twc,PAC,Refill Twc,Refill Twc,Rp 175.600,4.3,(2),2.0,Yes (2),No (0),Maybe (0),2.0,0.0,4.3,4.3,2.0,2.0,2.0,2.0,0.0,0.0
1639358606-1897,https://www.sociolla.com/146-face?page=21,,https://www.sociolla.com/highlighter/15509-perfect-glow-highlight-and-contour-palette,Mineral Botanica,Perfect Glow Highlight and Contour Palette,Perfect Glow Highlight and Contour Palette,Rp 179.900Rp 125.930,4.6,(44),30.0,Yes (32),No (1),Maybe (11),32.0,1.0,4.6,4.6,30.0,30.0,32.0,32.0,1.0,1.0
1639359535-2043,https://www.sociolla.com/146-face?page=11,,https://www.sociolla.com/cake-foundation/10086-instaperfect-matte-fit-powder-foundation,Wardah,Instaperfect MATTE FIT Powder Foundation,Instaperfect MATTE FIT Powder Foundation,Rp 125.000,4.5,(341),314.0,Yes (230),No (25),Maybe (86),230.0,25.0,4.5,4.5,314.0,228.0,230.0,115.0,25.0,17.0
1639358567-1890,https://www.sociolla.com/146-face?page=21,,https://www.sociolla.com/liquid-foundation/14880-healthy-skin-harmony-miracle-,Max Factor,Healthy Skin Harmony Miracle,Healthy Skin Harmony Miracle,Rp 200.000,4.6,(11),10.0,Yes (8),No (0),Maybe (3),8.0,0.0,4.6,4.6,10.0,10.0,8.0,8.0,0.0,0.0
1639358572-1891,https://www.sociolla.com/146-face?page=21,,https://www.sociolla.com/cake-foundation/53590-special-package-holy-flawless-bb-cushion,Looke Cosmetics,Special Package Holy Flawless BB Cushion,Special Package Holy Flawless BB Cushion,Rp 225.000,4.7,(10),10.0,Yes (8),No (0),Maybe (2),8.0,0.0,4.7,4.6,10.0,10.0,8.0,8.0,0.0,0.0
