web-scraper-order,web-scraper-start-url,link,link-href,brand,product_name,category,price,rating,number_of_reviews,number_of_recommendations,repurchase_yes,repurchase_no,repurchase_maybe,repurchase_yes_num,repurchase_no_num,rating_imputed_mean,rating_imputed_median,number_of_recommendations_imputed_mean,number_of_recommendations_imputed_median,repurchase_yes_num_imputed_mean,repurchase_yes_num_imputed_median,repurchase_no_num_imputed_mean,repurchase_no_num_imputed_median
1639360030-2107,https://www.sociolla.com/146-face?page=6,,https://www.sociolla.com/concealer/59821-the-realest-lightweight-concealer,Rose All Day,The Realest Lightweight Concealer,The Realest Lightweight Concealer,Rp 139.000,4.6,(36),20.0,Yes (30),No (1),Maybe (5),30.0,1.0,4.6,4.6,20.0,20.0,30.0,30.0,1.0,1.0
1639359253-2002,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/face-primer/59652-hydraveil-primer-serum-matte-my-day,Azarine,Hydraveil Primer Serum Matte My Day,Hydraveil Primer Serum Matte My Day,Rp 89.000,4.9,(167),106.0,Yes (160),No (0),Maybe (7),160.0,0.0,4.9,4.6,106.0,106.0,160.0,115.0,0.0,0.0
1639358389-1862,https://www.sociolla.com/146-face?page=23,,https://www.sociolla.com/cake-foundation/16522-stay-naked-the-fix-powder-foundation,Urban Decay,Stay Naked The Fix Powder Foundation,Stay Naked The Fix Powder Foundation,Rp 650.000,4.3,(5),5.0,Yes (3),No (0),Maybe (2),3.0,0.0,4.3,4.3,5.0,5.0,3.0,3.0,0.0,0.0
1639358869-1942,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/blush/58191-lng-cheek-glow-no-1-rose-pink-ol21,Laneige,LNG Cheek Glow No.1 Rose Pink (OL21),LNG Cheek Glow No.1 Rose Pink (OL21),Rp 350.000 - Rp 436.000Rp 280.000 - Rp 350.000,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639358336-1855,https://www.sociolla.com/146-face?page=24,,https://www.sociolla.com/bb-cc-cream/53868-perfect-glow-bb-cream,YOU Makeups,Perfect Glow BB Cream,Perfect Glow BB Cream,Rp 55.000Rp 46.750,4.4,(9),8.0,Yes (6),No (1),Maybe (2),6.0,1.0,4.4,4.4,8.0,8.0,6.0,6.0,1.0,1.0
1639358821-1934,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/bb-cc-cream/58296-lng-neo-cushion-matte-no-31n-brown-ol21,Laneige,LNG Neo Cushion-Matte No.31N Brown(OL21),LNG Neo Cushion-Matte No.31N Brown(OL21),Rp 751.000Rp 472.000,4.7,(2),0.0,Yes (2),No (0),Maybe (0),2.0,0.0,4.7,4.6,0.0,2.0,2.0,2.0,0.0,0.0
1639359233-1999,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/blush/15266-make-it-glow-adorable-marble,Pixy,Make It Glow Adorable Marble,Make It Glow Adorable Marble,Rp 120.000,4.6,(102),99.0,Yes (77),No (3),Maybe (22),77.0,3.0,4.6,4.6,99.0,99.0,77.0,77.0,3.0,3.0
1639358136-1830,https://www.sociolla.com/146-face?page=25,,https://www.sociolla.com/loose-powder/311-loose-powder,Wardah,,Loose Powder,Rp 160.000,,(16),14.0,Yes (9),No (1),Maybe (6),9.0,1.0,4.462214983713356,4.5,14.0,14.0,9.0,9.0,1.0,1.0
1639358409-1865,https://www.sociolla.com/146-face?page=23,,https://www.sociolla.com/blush/55042-lng-cheek-glow-ol21,Laneige,LNG Cheek Glow  (OL21),LNG Cheek Glow  (OL21),Rp 350.000Rp 264.000,4.0,(3),1.0,Yes (2),No (0),Maybe (1),2.0,0.0,4.0,4.2,1.0,2.0,2.0,2.0,0.0,0.0
1639359239-2000,https://www.sociolla.com/146-face?page=14,,https://www.sociolla.com/cake-foundation/47683-blue-pearlsation-high-coverage-marine-collagen-aqua-cushion-spf50-pa-refill-set,Klavuu,BLUE PEARLSATION High Coverage Marine Collagen Aqua Cushion SPF50+ PA+++ (REFILL SET),BLUE PEARLSATION High Coverage Marine Collagen Aqua Cushion SPF50+ PA+++ (REFILL SET),Rp 525.000Rp 367.500,4.9,(3),2.0,Yes (1),No (0),Maybe (2),1.0,0.0,4.9,4.6,2.0,2.0,1.0,1.0,0.0,0.0
1639359365-2018,https://www.sociolla.com/146-face?page=12,,https://www.sociolla.com/blush/16388-hour-blush,Silkygirl,Hour Blush,Hour Blush,Rp 49.500Rp 29.700,4.0,(53),45.0,Yes (18),No (10),Maybe (25),18.0,10.0,4.0,4.2,45.0,45.0,18.0,18.0,10.0,10.0
1639359378-2020,https://www.sociolla.com/146-face?page=12,,https://www.sociolla.com/cake-foundation/47688-urban-pearlsation-high-coverage-tension-cushion-spf50-pa-refill-set,Klavuu,URBAN PEARLSATION High Coverage Tension Cushion SPF50+ PA++++ (REFILL SET),URBAN PEARLSATION High Coverage Tension Cushion SPF50+ PA++++ (REFILL SET),Rp 575.000Rp 402.500,4.3,(4),4.0,Yes (2),No (0),Maybe (2),2.0,0.0,4.3,4.3,4.0,4.0,2.0,2.0,0.0,0.0
1639360401-2159,https://www.sociolla.com/146-face?page=3,,https://www.sociolla.com/compact-powder/51300-compact-powder,BLP Beauty,Compact Powder,Compact Powder,Rp 149.000,4.5,(156),133.0,Yes (111),No (9),Maybe (36),111.0,9.0,4.5,4.5,133.0,133.0,111.0,111.0,9.0,9.0
1639358578-1892,https://www.sociolla.com/146-face?page=21,,https://www.sociolla.com/face-primer/59653-hydraveil-primer-serum-let-it-glow,Azarine,Hydraveil Primer Serum Let It Glow,Hydraveil Primer Serum Let It Glow,Rp 89.000,4.9,(67),38.0,Yes (63),No (0),Maybe (4),63.0,0.0,4.9,4.6,38.0,38.0,63.0,63.0,0.0,0.0
1639359733-2070,https://www.sociolla.com/146-face?page=9,,https://www.sociolla.com/cake-foundation/59577-holy-flawless-bb-cushion-refill,Looke Cosmetics,Holy Flawless BB Cushion Refill,Holy Flawless BB Cushion Refill,Rp 214.500,4.7,(8),7.0,Yes (7),No (0),Maybe (1),7.0,0.0,4.7,4.6,7.0,7.0,7.0,7.0,0.0,0.0
1639359433-2027,https://www.sociolla.com/146-face?page=12,,https://www.sociolla.com/blush/61512-blushher-disney-marie-the-cat-edition,Wardah,,,,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639359659-2059,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/foundation/16351-sunglow-foundation,NOTE COSMETICS,Sunglow Foundation,Sunglow Foundation,Rp 149.000Rp 96.850,4.2,(11),8.0,Yes (5),No (2),Maybe (4),5.0,2.0,4.2,4.2,8.0,8.0,5.0,5.0,2.0,2.0
1639360451-2166,https://www.sociolla.com/146-face?page=2,,https://www.sociolla.com/compact-powder/2396-city-chic-cc-cake,Emina,City Chic CC Cake,City Chic CC Cake,Rp 52.500,4.3,"(1,6k)",1487.0,Yes (830),No (273),Maybe (526),830.0,273.0,4.3,4.3,1487.0,228.0,830.0,115.0,273.0,17.0
1639358849-1938,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/bb-cc-cream/58529-boss-babe-bb-cream,Beauty Boss,Boss Babe BB Cream,Boss Babe BB Cream,Rp 180.000,4.8,(1),1.0,Yes (1),No (0),Maybe (0),1.0,0.0,4.8,4.6,1.0,2.0,1.0,1.0,0.0,0.0
